index,Date,Gold 999(AM Price),Gold 999(PM Price),Gold 995(AM Price),Gold 995(PM Price),Gold 916(AM Price),Gold 916(PM Price),Gold 750(AM Price),Gold 750(PM Price),Gold 585(AM Price),Gold 585(PM Price),Silver 999(AM Price),Silver 999(PM Price)
33,2019-12-09,37790,37799,37639,37648,34616,34624,28343,28349,22107,22112,43220,43225
34,2019-12-10,37712,37766,37561,37615,34544,34594,28284,28325,22062,22093,43190,43275
35,2019-12-11,37704,37792,37553,37641,34537,34617,28278,28344,22057,22108,43160,43260
36,2019-12-12,37875,37930,37723,37778,34694,34744,28406,28448,22157,22189,43655,43730
37,2019-12-13,37717,37827,37566,37676,34549,34649,28288,28370,22064,22128,43740,43880
38,2019-12-16,38010,38034,37858,37882,34817,34839,28507,28525,22235,22250,44105,44165
39,2019-12-17,38036,38112,37884,37959,34841,34911,28527,28584,22251,22296,44225,44275
40,2019-12-18,38092,38112,37939,37959,34892,34911,28569,28584,22284,22296,44175,44200
41,2019-12-19,38031,38029,37879,37877,34836,34835,28523,28522,22248,22247,44025,43975
42,2019-12-20,38179,38121,38027,37968,34972,34919,28634,28591,22335,22301,44345,44250
43,2019-12-23,38234,38281,38081,38128,35022,35065,28676,28711,22367,22394,44805,45035
44,2019-12-24,38442,38445,38288,38291,35213,35216,28832,28834,22489,22490,45660,45630
45,2019-12-26,38790,38791,38635,38636,35532,35533,29093,29093,22692,22693,46580,46520
46,2019-12-27,38868,38944,38712,38788,35603,35673,29151,29208,22738,22782,46130,46320
47,2019-12-30,39036,38978,38880,38822,35757,35704,29277,29233,22836,22802,46445,46130
48,2019-12-31,39205,39240,39048,39083,35912,35944,29404,29430,22935,22955,46725,46665
49,2020-01-01,39108,39119,38951,38962,35823,35833,29331,29339,22878,22885,46105,46145
50,2020-01-02,39201,39215,39044,39058,35908,35921,29401,29411,22933,22941,46280,46340
51,2020-01-03,39872,40092,39712,39931,36523,36724,29904,30069,23325,23454,47250,47330
52,2020-01-06,40928,40842,40764,40678,37490,37411,30696,30632,23943,23893,48080,47955
53,2020-01-07,40488,40537,40326,40375,37087,37132,30366,30403,23685,23714,47195,47145
54,2020-01-08,41253,40851,41088,40687,37788,37420,30940,30638,24133,23898,48395,47795
55,2020-01-09,40046,39881,39886,39722,36682,36531,30035,29911,23427,23330,46335,46375
56,2020-01-10,39798,39760,39639,39601,36455,36420,29849,29820,23282,23260,46125,46180
57,2020-01-13,39829,39757,39670,39598,36483,36417,29872,29818,23300,23258,46370,46265
58,2020-01-14,39515,39634,39357,39475,36196,36305,29636,29726,23116,23186,45715,45835
59,2020-01-15,39836,39813,39676,39654,36490,36469,29877,29860,23304,23291,45980,45960
60,2020-01-16,39811,39900,39652,39740,36467,36548,29858,29925,23289,23342,46005,46270
61,2020-01-17,39915,39969,39755,39809,36562,36612,29936,29977,23350,23382,46420,46555
62,2020-01-20,40115,40112,39954,39951,36745,36743,30086,30084,23467,23466,46635,46640
63,2020-01-21,40274,40014,40113,39854,36891,36653,30206,30011,23560,23408,46730,46410
64,2020-01-22,39942,40076,39782,39916,36587,36710,29957,30057,23367,23444,45895,46110
65,2020-01-23,40068,40023,39908,39863,36702,36661,30051,30017,23440,23413,45895,45820
66,2020-01-24,40166,40157,40005,39996,36792,36784,30125,30118,23497,23492,46080,46145
67,2020-01-27,40692,40814,40529,40651,37274,37386,30519,30611,23805,23876,47140,47395
68,2020-01-28,40634,40656,40471,40493,37221,37241,30476,30492,23771,23784,46685,46695
69,2020-01-29,40312,40464,40151,40302,36926,37065,30234,30348,23583,23671,45405,45535
70,2020-01-30,40745,40848,40582,40684,37322,37417,30559,30636,23836,23896,45780,46170
71,2020-01-31,40735,40791,40572,40628,37313,37365,30551,30593,23830,23863,46420,46395
72,2020-02-03,40967,40817,40803,40654,37526,37388,30725,30613,23966,23878,46310,46240
73,2020-02-04,40571,40606,40409,40443,37163,37195,30428,30455,23734,23755,45855,46010
74,2020-02-05,40386,40210,40224,40049,36994,36832,30290,30158,23626,23523,45850,45510
75,2020-02-06,40312,40498,40151,40336,36926,37096,30234,30374,23583,23691,45870,46155
76,2020-02-07,40538,40666,40376,40503,37133,37250,30404,30500,23715,23789,46160,46230
77,2020-02-10,40689,40738,40526,40575,37271,37316,30517,30554,23803,23832,46040,46225
78,2020-02-11,40575,40624,40413,40461,37167,37212,30431,30468,23736,23765,46125,46025
79,2020-02-12,40526,40583,40364,40421,37122,37174,30395,30437,23708,23741,45595,45675
80,2020-02-13,40830,40766,40667,40603,37400,37342,30623,30575,23886,23848,45925,45890
81,2020-02-14,40792,40780,40629,40617,37366,37354,30594,30585,23863,23856,45965,46000
82,2020-02-17,40970,40865,40806,40701,38529,37432,30728,30649,23968,23906,46450,46165
83,2020-02-18,41017,41135,40853,40970,37572,37680,30763,30851,23995,24064,46385,46545
84,2020-02-19,41535,41636,41369,41469,38046,38139,31151,31227,24298,24357,47600,47700
85,2020-02-20,41640,41742,41473,41575,38142,38236,31230,31307,24359,24419,47690,47605
86,2020-02-24,43035,43590,42863,43415,39420,39928,32276,32693,25176,25500,48585,49035
87,2020-02-25,42576,42808,42406,42637,39000,39212,31932,32106,24907,25043,48585,48055
88,2020-02-26,42585,42655,42414,42484,39008,39072,31939,31991,24912,24953,47185,47165
89,2020-02-27,42731,42613,42560,42442,39142,39034,32048,31960,24998,24929,47180,47030
90,2020-02-28,42483,42524,42313,42354,38914,38952,31862,31893,24853,24877,45180,45515
91,2020-03-02,42022,42326,41854,42157,38492,38771,31517,31745,24583,24761,45105,45080
92,2020-03-03,42137,42446,41968,42276,38597,38881,31603,31835,24650,24831,44880,44980
93,2020-03-04,43520,43303,43346,43130,39864,39666,32640,32477,25459,25332,46505,46205
94,2020-03-05,43156,43373,42983,43199,39531,39730,32367,32530,25246,25373,46035,46170
95,2020-03-06,44274,44415,44097,44237,40555,40684,33206,33311,25900,25983,46750,47125
96,2020-03-09,43860,44014,43684,43838,40176,40317,32895,33011,25658,25748,45155,46005
97,2020-03-11,43661,43648,43486,43473,39993,39982,32746,32736,25542,25534,46020,46005
98,2020-03-12,43296,43374,43123,43200,39659,39731,32472,32531,25328,25374,45110,45340
99,2020-03-13,42019,42017,41851,41849,38489,38488,31514,31513,24581,24580,42730,43085
100,2020-03-16,41469,39995,41303,39835,37986,36635,31102,29996,24259,23397,40345,36640
101,2020-03-17,40195,39886,40034,39726,36818,36535,30146,29914,23514,23333,36125,35145
102,2020-03-18,40746,40537,40583,40375,37323,37131,30560,30402,23836,23714,35455,35515
103,2020-03-19,40616,40496,40453,40334,37204,37094,30462,30372,23760,23690,35200,35220
104,2020-03-20,40916,41335,40752,41169,37479,37863,30687,31001,23936,24181,36595,37140
105,2020-03-23,41226,40719,41061,40556,37763,37299,30920,30539,24117,23821,37015,36850
106,2020-03-24,41206,42247,41041,42078,37745,38698,30905,31685,24106,24714,39000,40325
107,2020-03-25,43625,43424,43450,43250,39961,39776,32719,32568,25521,25403,40900,40900
108,2020-03-26,43093,43283,42920,43110,39473,39647,32320,32462,25209,25321,40810,41200
109,2020-03-27,43474,43675,43300,43500,39822,40006,32606,32756,25432,25550,41600,41400
110,2020-03-30,43298,43876,43125,43700,39661,40190,32474,32907,25329,25667,39500,39500
111,2020-03-31,43725,43173,43550,43000,40052,39546,32794,32380,25579,25256,39550,39200
112,2020-04-01,43123,43474,42950,43300,39501,39822,32342,32606,25227,25432,39200,39250
113,2020-04-03,43675,43936,43500,43760,40006,40245,32756,32952,25550,25703,40300,40310
114,2020-04-07,45121,44880,44940,44700,41331,41110,33841,33660,26396,26255,42200,42300
115,2020-04-08,44860,44890,44680,44710,41092,41119,33645,33668,26243,26261,42010,42110
116,2020-04-09,45050,45201,44870,45020,41266,41404,33788,33901,26354,26443,42030,42320
117,2020-04-13,45954,46034,45770,45850,42094,42167,34466,34526,26883,26930,42990,42900
118,2020-04-15,46476,46536,46290,46350,42572,42627,34857,34902,27188,27224,43450,44000
119,2020-04-16,46576,46928,46390,46740,42664,42986,34932,35196,27247,27453,43470,43550
120,2020-04-17,45964,45713,45780,45530,42103,41873,34473,34285,26889,26742,42460,42270
121,2020-04-20,45633,45793,45450,45610,41800,41946,34225,34345,26695,26789,42490,42280
122,2020-04-21,46074,45593,45890,45410,42204,41763,34556,34195,26953,26672,42710,41700
123,2020-04-22,45803,46085,45620,45900,41956,42214,34352,34564,26795,26960,41030,41600
124,2020-04-23,46265,46536,46080,46350,42379,42627,34699,34902,27065,27224,42480,42500
125,2020-04-24,46496,46607,46310,46420,42590,42692,34872,34955,27200,27265,42010,42030
126,2020-04-27,46406,46336,46220,46150,42508,42444,34805,34752,27148,27107,42020,42050
127,2020-04-28,45974,46195,45790,46010,42112,42315,34481,34646,26895,27024,41530,41650
128,2020-04-29,45934,45904,45750,45720,42076,42048,34451,34428,26871,26854,42050,42030
129,2020-04-30,45964,45733,45780,45550,42103,41891,34473,34300,26889,26754,42300,42200
130,2020-05-04,45770,45913,45587,45729,41925,42056,34328,34435,26776,26859,41100,41300
131,2020-05-05,45743,45557,45560,45375,41901,41730,34307,34168,26760,26651,40710,40600
132,2020-05-06,45914,45864,45730,45680,42057,42011,34436,34398,26860,26830,41720,41750
133,2020-05-08,46221,46292,46036,46107,42338,42403,34666,34719,27039,27081,43250,42600
134,2020-05-11,45924,45785,45740,45602,42066,41939,34443,34339,26866,26784,43325,43200
135,2020-05-12,46004,45883,45820,45699,42139,42028,34503,34412,26912,26841,43060,43005
136,2020-05-13,45881,45894,45697,45710,42026,42039,34410,34420,26840,26848,42875,42915
137,2020-05-14,46246,46322,46060,46136,42361,42430,34684,34742,27053,27098,42845,42985
138,2020-05-15,46791,47067,46604,46879,42861,43113,35093,35300,27373,27534,44735,45035
139,2020-05-18,47948,47861,47756,47669,43920,43841,35961,35896,28050,27999,47515,48120
140,2020-05-19,46966,46829,46778,46641,43020,42895,35225,35122,27475,27395,47010,46800
141,2020-05-20,47356,47260,47166,47071,43378,43290,35517,35445,27703,27647,48315,48120
142,2020-05-21,46986,46888,46798,46700,43039,42949,35240,35166,27247,27429,47465,47300
143,2020-05-22,46996,47100,46778,46911,43048,43144,35247,35325,27493,27554,46800,47045
144,2020-05-26,47090,46799,46901,46617,43134,42868,35318,35099,27548,27377,47985,47625
145,2020-05-27,46260,46290,46075,46105,42374,42402,34695,34718,27062,27080,46920,47000
146,2020-05-28,46758,46995,46571,46807,42830,43047,35069,35246,27353,27492,47735,47905
147,2020-05-29,46819,46929,46632,46741,42886,42987,35114,35197,27389,27453,47870,48435
148,2020-06-01,47306,47043,47117,46855,43332,43091,35480,35282,27647,27520,50010,49330
149,2020-06-02,47184,47075,46995,46887,43221,43121,35388,35306,27603,27539,49670,49540
150,2020-06-03,46689,46845,46502,46657,42767,42910,35017,35134,27313,27404,48220,48295
151,2020-06-04,46441,46767,46255,46580,42540,42839,34831,35075,27168,27359,47640,47930
152,2020-06-05,46700,46696,46513,46509,42777,42774,35025,35022,27320,27317,47675,47800
153,2020-06-08,46400,46479,46214,46293,42502,42575,34800,34859,27144,27190,47570,47800
154,2020-06-09,46483,46844,46297,46656,42578,42909,34862,35133,27193,27404,47675,47695
155,2020-06-10,46994,47005,46806,46817,43047,43057,35246,35254,27492,27498,47835,47820
156,2020-06-11,47430,47419,47240,47229,43446,43436,35573,35564,27747,27740,48395,48485
157,2020-06-12,47377,47513,47187,47323,43397,43522,35538,35635,27716,27795,47705,47755
158,2020-06-15,47278,47047,47089,46859,43307,43095,35459,35285,27658,27523,46500,46915
159,2020-06-16,47314,47540,47125,47350,43340,43547,35486,35655,27679,27811,47545,47870
160,2020-06-17,47596,47377,47405,47187,43598,43397,35697,35533,27844,27716,48146,48190
161,2020-06-18,47571,47496,47381,47306,43575,43506,35678,35622,27829,27785,48352,48360
162,2020-06-19,47654,47653,47463,47462,43651,43650,35741,35740,27878,27877,47985,48095
163,2020-06-22,48300,48130,48107,47937,44243,44087,36225,36098,28256,28156,49061,48825
164,2020-06-23,48075,48120,47882,47927,44037,44078,36056,36090,28124,28150,48253,48440
165,2020-06-24,48482,48575,48288,48380,44410,44495,36362,36431,28362,28416,48792,48505
166,2020-06-25,48236,48137,48043,47944,44184,44093,36177,36103,28218,28160,47640,47585
167,2020-06-26,48043,48234,47851,48041,44007,44182,36032,36176,28105,28217,48056,48285
168,2020-06-29,48600,48554,48405,48360,44518,44475,36450,36416,28431,28404,48614,48565
169,2020-06-30,48534,48559,48340,48365,44457,44480,36401,36419,28392,28407,48556,48600
170,2020-07-01,48980,48886,48784,48690,44866,44780,36735,36665,28653,28598,49716,49655
171,2020-07-02,48490,48308,48296,48115,44417,44250,36368,36231,28367,28260,48843,48580
172,2020-07-03,48357,48354,48163,48160,44295,44292,36268,36266,28289,28287,48594,48555
173,2020-07-06,48283,48359,48090,48165,44227,44297,36212,36269,28246,28290,48803,49255
174,2020-07-07,48632,48444,48437,48250,44547,44375,36474,36333,28450,28340,49333,48870
175,2020-07-08,48954,49122,48758,48925,44842,44996,36716,36842,28638,28736,49781,50140
176,2020-07-09,49381,49239,49183,49042,45233,45103,37036,36929,28888,28805,51232,51220
177,2020-07-10,49101,49320,48904,49122,44977,45177,36826,36990,28724,28852,50477,50975
178,2020-07-13,49266,49324,49069,49126,45128,45181,36950,36993,28821,28855,51630,51780
179,2020-07-14,49247,49117,49050,48920,45110,44991,36935,36838,28809,28733,51793,51355
180,2020-07-15,49373,49250,49175,49053,45226,45113,37030,36938,28883,28811,52301,52195
181,2020-07-16,49318,49267,49120,49070,45175,45129,36989,36950,28851,28821,52150,52085
182,2020-07-17,49085,49145,48888,48948,44962,45017,36814,36859,28715,28750,51745,51740
183,2020-07-20,49221,49217,49024,49020,45086,45083,36916,36913,28794,28792,52188,52345
184,2020-07-21,49343,49440,49145,49242,45198,45287,37007,37080,28866,28922,54500,54850
185,2020-07-22,50220,50181,50019,49980,46002,45966,37665,37636,29379,29356,60043,59170
186,2020-07-23,50552,50703,50350,50500,46306,46444,37914,38027,29573,29661,60586,60785
187,2020-07-24,51039,51124,50835,50919,46752,46830,38279,38343,29858,29908,59967,59885
188,2020-07-27,52135,52519,51926,52309,47756,48107,39101,39389,30499,30724,63860,64505
189,2020-07-28,52525,52465,52315,52255,48113,48058,39394,39349,30727,30692,65302,62730
190,2020-07-29,52972,53013,52760,52801,48522,48560,39729,39760,30989,31013,63951,64300
191,2020-07-30,53354,53277,53140,53064,48872,48802,40016,39958,31212,31167,63260,61760
192,2020-07-31,53708,53743,53493,53528,49197,49229,40281,40307,31419,31440,63765,63975
193,2020-08-03,53952,53976,53736,53760,49420,49442,40464,40482,31562,31576,64917,64770
194,2020-08-04,53996,54004,53780,53788,49460,49468,40497,40503,31588,31592,64925,64735
195,2020-08-05,55201,55448,54980,55226,50564,50790,41401,41586,32293,32437,69225,71200
196,2020-08-06,55764,55914,55541,55690,51080,51217,41823,41936,32622,32710,73281,73617
197,2020-08-07,56254,56126,56029,55901,51529,51411,42191,42095,32909,32834,76008,75013
198,2020-08-10,55550,55515,55328,55293,50884,50852,41663,41636,32497,32476,74595,73608
199,2020-08-11,54528,53951,54310,53735,49948,49419,40896,40463,31899,31561,72354,71211
200,2020-08-12,52038,52626,51830,52415,47667,48205,39029,39470,30442,30786,63450,65749
201,2020-08-13,52731,52701,52520,52490,48302,48274,39548,39526,30848,30830,66256,67439
202,2020-08-14,52956,52874,52744,52662,48508,48433,39717,39656,30979,30931,68676,67768
203,2020-08-17,52768,52874,52557,52662,48335,48433,39576,39656,30869,30931,68159,68034
204,2020-08-18,54111,53815,53894,53600,49566,49295,40583,40361,31655,31482,69496,69998
205,2020-08-19,53424,53394,53210,53180,48936,48909,40068,40046,31253,31235,67135,67072
206,2020-08-20,52528,52319,52318,52110,48116,47924,39396,39239,30729,30607,66448,66153
207,2020-08-21,52390,51973,52180,51765,47989,47607,39293,38980,30648,30404,67390,66374
208,2020-08-24,51992,52009,51784,51801,47625,47640,38994,39007,30415,30425,65334,65502
209,2020-08-25,51628,51454,51421,51248,47291,47132,38721,38591,30202,30101,64881,64594
210,2020-08-26,51188,51110,50983,50905,46888,46817,38391,38333,29945,29899,62541,63074
211,2020-08-27,51537,51222,51331,51017,47208,46919,38653,38417,30149,29965,66447,65388
212,2020-08-28,50929,51177,50725,50972,46651,46878,38197,38383,29793,29939,64711,64834
213,2020-08-31,51405,51246,51195,51041,47083,46941,38551,38435,30070,29979,66516,65934
214,2020-09-01,51401,51575,51195,51368,47083,47343,38551,38681,30070,30171,67630,68402
215,2020-09-02,51024,51184,50820,50979,46738,46885,38268,38388,29849,29943,66356,65921
216,2020-09-03,50844,50927,50640,50723,46573,46649,38133,38195,29744,29792,64362,64393
217,2020-09-04,51092,51106,50887,50901,46800,46813,38319,38330,29889,29897,63534,64437
218,2020-09-07,51065,51018,50861,50814,46776,46732,38299,38264,29873,29846,65048,65017
219,2020-09-08,51185,51075,50980,50870,46885,46785,38389,38306,29943,29879,65721,64825
220,2020-09-09,51343,51051,51137,50847,47030,46762,38507,38288,30036,29865,64952,64547
221,2020-09-10,51331,51476,51125,51270,47019,47152,38498,38607,30029,30113,66100,66091
222,2020-09-11,51304,51441,51099,51235,46994,47120,38478,38581,30013,30093,65252,65424
223,2020-09-14,51386,51394,51180,51188,47070,47077,38540,38546,30061,30065,65226,65223
224,2020-09-15,51793,51893,51586,51685,47442,47534,38845,38920,30299,30357,66669,66758
225,2020-09-16,51742,51797,51535,51590,47396,47446,38807,38848,30269,30301,66187,65883
226,2020-09-17,51431,51511,51225,51305,47111,47184,38573,38633,30087,30134,64821,65218
227,2020-09-18,51536,51620,51330,51413,47207,47284,38652,38715,30149,30198,65799,65905
228,2020-09-21,51612,51341,51405,51135,47277,47028,38709,38506,30193,30034,65010,64141
229,2020-09-22,50638,50683,50435,50480,46384,46426,37979,38012,29623,29650,59915,59959
230,2020-09-23,50222,50327,50021,50125,46003,46100,37667,37745,29380,29441,58217,58908
231,2020-09-24,49810,49822,49611,49623,45626,45637,37358,37367,29139,29146,56250,56471
232,2020-09-25,50136,49846,49935,49646,45925,45659,37602,37385,29330,29160,58843,57477
233,2020-09-28,49739,49757,49540,49558,45561,45577,37304,37318,29097,29108,57272,58071
